subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,dice_val_avg
128,32,8,128,64,128,128,1e-05,21.399627685546875,True,Completed,0.014175638517675301
128,16,16,256,8,128,256,1e-05,38.244354248046875,True,Completed,0.01264255625816683
128,64,32,128,256,64,128,1e-05,160.64181518554688,True,Completed,0.01357073043861116
128,32,16,256,128,8,256,1e-05,73.32150268554688,True,Completed,0.009816511146103343
128,16,128,16,64,16,16,5e-05,3.501678466796875,True,Completed,0.01187536281455929
128,16,32,128,16,16,128,5e-05,19.829315185546875,True,Completed,0.013181402930058539
128,16,8,256,128,8,256,0.0001,25.610565185546875,True,Completed,0.012139063716555635
128,32,8,256,64,16,256,0.0001,51.169158935546875,True,Completed,0.014018236057988057
128,32,8,128,8,8,128,0.0001,20.521209716796875,True,Completed,0.014051442500203848
128,64,64,64,8,32,64,5e-05,72.88790893554688,True,Completed,0.011376442581725618
128,16,128,256,32,8,256,5e-05,279.7433776855469,True,Completed,0.0102084336297897
128,32,256,256,64,32,256,5e-05,613.6496276855469,True,Completed,0.012052510826227566
128,64,32,32,16,8,32,1e-05,33.364471435546875,True,Completed,0.013132695322080204
128,64,8,128,16,16,128,1e-05,132.61935424804688,True,Completed,0.01102637943889325
128,16,32,64,256,16,64,0.0001,13.428924560546875,True,Completed,0.011570078999890635
128,16,128,64,128,32,64,1e-05,33.913299560546875,True,Completed,0.00937089572350184
128,64,128,256,256,128,256,0.0001,643.4699401855469,True,Completed,0.013183754868805408
128,64,16,128,32,32,128,5e-05,137.44259643554688,True,Completed,0.013135722760731975
128,32,32,128,128,128,128,5e-05,40.637908935546875,True,Completed,0.011860403251678994
128,64,128,256,256,16,256,0.0001,643.4699401855469,True,Completed,0.009240234134873996
128,32,64,64,32,64,64,0.0001,18.413299560546875,True,Completed,0.014126522447137782
128,64,64,64,64,32,64,5e-05,76.41525268554688,True,Completed,0.01269673703548809
128,32,32,32,32,32,32,1e-05,5.625213623046875,True,Completed,0.012301805526173363
128,16,128,32,64,16,32,0.0001,8.945526123046875,True,Completed,0.01138878962956369
128,16,64,16,8,16,16,1e-05,0.997772216796875,True,Completed,0.011813963724610707
