subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,dice_val_avg,logdir
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6738770462964712,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6730224913672396,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6729067971831874,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6724431138289604,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6718818882578298,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6735825091600419,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.675755718036702,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6729878296977597,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6703423755733591,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.6711374591839937,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6711251045528212,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.670077179607592,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6718787629353372,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
