subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,loss
64,8,32,128,128,32,64,0.0001,25.075408935546875,False,Not Completed,NA
128,8,16,128,8,8,128,0.001,10.935760498046875,False,Not Completed,NA
32,8,8,128,8,32,64,5e-05,4.739959716796875,False,Not Completed,NA
64,32,16,32,16,8,64,5e-05,4.706268310546875,False,Not Completed,NA
32,8,128,64,8,16,8,5e-05,17.798065185546875,False,Not Completed,NA
128,16,16,64,16,32,256,1e-05,3.594940185546875,False,Not Completed,NA
64,8,8,16,32,16,64,1e-05,0.218475341796875,False,Not Completed,NA
64,2,32,256,128,16,32,0.0001,113.34494018554688,False,Not Completed,NA
128,64,256,128,32,64,128,0.0001,274.6105651855469,False,Not Completed,NA
32,8,256,256,16,16,8,0.0001,533.8136901855469,False,Not Completed,NA
64,2,128,128,16,64,128,1e-05,85.43869018554688,False,Not Completed,NA
32,2,32,16,32,16,32,0.0001,0.811737060546875,False,Not Completed,NA
128,16,8,128,128,32,8,0.0001,8.563690185546875,False,Not Completed,NA
64,8,64,16,64,16,256,0.001,1.696014404296875,False,Not Completed,NA
128,8,8,16,16,8,256,0.001,0.416717529296875,False,Not Completed,NA
128,16,8,16,32,16,32,0.0001,0.435272216796875,False,Not Completed,NA
64,16,8,128,8,32,8,0.001,6.462615966796875,False,Not Completed,NA
32,2,128,256,128,32,32,0.0001,327.1261901855469,False,Not Completed,NA
128,64,32,256,16,8,128,1e-05,323.4113464355469,False,Not Completed,NA
32,2,16,128,128,8,32,0.0001,14.407440185546875,False,Not Completed,NA
128,16,256,256,32,32,128,1e-05,553.8996276855469,False,Not Completed,NA
128,8,128,128,32,16,64,5e-05,75.66915893554688,False,Not Completed,NA
64,2,256,128,16,64,256,0.0001,154.64181518554688,False,Not Completed,NA
128,8,128,16,64,8,64,5e-05,3.504608154296875,False,Not Completed,NA
32,1,128,128,64,16,8,1e-05,97.42355346679688,False,Not Completed,NA
64,16,128,64,256,64,16,0.0001,49.917205810546875,False,Not Completed,NA
64,16,8,64,8,16,8,0.0001,2.200897216796875,False,Not Completed,NA
64,4,256,256,64,16,16,5e-05,585.4152526855469,False,Not Completed,NA
64,16,32,128,256,16,16,0.001,34.614471435546875,False,Not Completed,NA
32,4,8,128,16,64,32,0.0001,4.849822998046875,False,Not Completed,NA
128,16,8,256,64,16,8,0.001,23.364471435546875,False,Not Completed,NA
32,2,64,64,16,16,64,0.0001,10.391815185546875,False,Not Completed,NA
128,64,64,256,32,16,16,0.0001,393.8761901855469,False,Not Completed,NA
128,16,8,32,128,16,64,5e-05,1.381072998046875,False,Not Completed,NA
64,16,32,64,128,64,128,0.0001,9.303924560546875,False,Not Completed,NA
128,64,64,64,16,32,16,1e-05,73.38009643554688,False,Not Completed,NA
32,4,64,16,8,8,64,1e-05,0.754608154296875,False,Not Completed,NA
128,16,256,32,8,8,128,0.0001,10.191619873046875,False,Not Completed,NA
128,64,8,128,64,32,8,0.0001,133.31369018554688,False,Not Completed,NA
128,16,128,256,16,8,8,5e-05,271.4855651855469,False,Not Completed,NA
128,8,32,64,128,16,8,1e-05,9.384002685546875,False,Not Completed,NA
32,4,8,64,16,64,32,0.001,1.394744873046875,False,Not Completed,NA
64,4,64,256,8,32,256,1e-05,136.15353393554688,False,Not Completed,NA
64,2,64,128,256,32,256,1e-05,81.04806518554688,False,Not Completed,NA
128,8,64,32,32,32,256,1e-05,3.785369873046875,False,Not Completed,NA
64,4,128,8,8,8,256,1e-05,0.596160888671875,False,Not Completed,NA
32,8,8,8,32,8,256,5e-05,0.086883544921875,False,Not Completed,NA
32,1,64,128,16,64,8,0.001,50.806365966796875,False,Not Completed,NA
32,16,32,256,64,8,64,5e-05,77.36056518554688,False,Not Completed,NA
32,1,32,64,8,64,32,5e-05,12.485809326171875,False,Not Completed,NA
128,4,64,128,8,8,32,0.0001,49.844940185546875,False,Not Completed,NA
32,8,256,64,128,64,32,1e-05,65.60861206054688,False,Not Completed,NA
64,16,256,32,16,32,256,1e-05,11.168182373046875,False,Not Completed,NA
128,4,128,64,128,64,32,1e-05,40.796112060546875,False,Not Completed,NA
64,2,8,256,32,32,64,1e-05,49.925018310546875,False,Not Completed,NA
32,4,8,64,128,64,32,5e-05,2.276580810546875,False,Not Completed,NA
64,8,8,128,8,8,32,0.001,4.943084716796875,False,Not Completed,NA
32,16,128,32,128,16,64,5e-05,12.950408935546875,False,Not Completed,NA
32,2,64,128,16,16,8,5e-05,36.809783935546875,False,Not Completed,NA
64,8,16,128,128,64,16,0.001,12.895721435546875,False,Not Completed,NA
64,4,128,128,256,32,64,1e-05,131.66915893554688,False,Not Completed,NA
