subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,dice_val_avg
128,16,16,128,32,8,16,1e-05,11.634002685546875,False,Not Completed,NA
128,16,16,64,8,64,8,0.0001,3.408416748046875,False,Not Completed,NA
128,32,64,64,16,8,32,0.0001,17.397674560546875,False,Not Completed,NA
128,64,16,128,16,128,64,1e-05,136.90939331054688,False,Not Completed,NA
128,16,256,128,256,16,16,1e-05,261.2394714355469,False,Not Completed,NA
128,32,256,128,256,8,32,5e-05,275.0285339355469,False,Not Completed,NA
128,16,128,256,128,16,16,1e-05,327.6027526855469,False,Not Completed,NA
128,32,128,64,256,8,256,0.0001,56.975799560546875,False,Not Completed,NA
128,32,32,256,16,32,128,5e-05,99.46603393554688,False,Not Completed,NA
128,16,8,16,32,16,64,5e-05,0.437225341796875,False,Not Completed,NA
128,16,256,64,16,16,256,0.0001,38.428924560546875,False,Not Completed,NA
128,16,32,64,256,16,64,0.0001,13.428924560546875,True,Completed,0.011570078999890635
128,64,16,256,256,32,64,5e-05,305.0949401855469,False,Not Completed,NA
128,64,64,128,8,64,256,0.0001,161.92697143554688,False,Not Completed,NA
128,32,128,8,16,8,256,5e-05,1.603973388671875,False,Not Completed,NA
128,64,8,64,8,64,8,0.0001,65.18722534179688,False,Not Completed,NA
128,16,16,16,32,8,128,1e-05,0.576873779296875,False,Not Completed,NA
128,32,128,64,64,8,16,5e-05,32.729705810546875,False,Not Completed,NA
128,16,128,64,128,32,64,1e-05,33.913299560546875,True,Completed,0.00937089572350184
128,16,32,128,64,16,32,1e-05,22.794158935546875,False,Not Completed,NA
128,64,128,256,256,128,256,0.0001,643.4699401855469,True,Completed,0.013183754868805408
128,64,16,128,32,32,128,5e-05,137.44259643554688,True,Completed,0.013135722760731975
128,64,256,32,8,8,16,0.0001,41.616424560546875,False,Not Completed,NA
128,32,8,32,16,16,16,1e-05,4.376190185546875,False,Not Completed,NA
128,64,256,128,16,64,32,5e-05,266.5324401855469,False,Not Completed,NA
128,64,128,32,8,8,64,0.0001,36.833221435546875,False,Not Completed,NA
128,32,8,256,128,16,128,5e-05,53.048065185546875,False,Not Completed,NA
128,32,32,128,128,128,128,5e-05,40.637908935546875,True,Completed,0.011860403251678994
128,64,8,64,8,8,8,1e-05,65.18722534179688,False,Not Completed,NA
128,16,128,128,32,64,8,0.0001,75.64181518554688,False,Not Completed,NA
128,16,16,256,256,16,128,0.0001,53.649627685546875,False,Not Completed,NA
128,64,128,256,256,16,256,0.0001,643.4699401855469,True,Completed,0.009240234134873996
128,32,8,16,256,16,128,0.0001,2.614959716796875,False,Not Completed,NA
128,64,16,256,8,8,16,5e-05,289.5177917480469,False,Not Completed,NA
128,32,32,256,128,64,64,0.0001,113.43087768554688,False,Not Completed,NA
128,16,256,128,32,64,64,1e-05,148.82540893554688,False,Not Completed,NA
128,32,32,256,64,8,8,5e-05,105.36056518554688,False,Not Completed,NA
128,32,64,128,256,8,64,0.0001,80.98165893554688,False,Not Completed,NA
128,64,256,8,128,8,64,5e-05,12.901092529296875,False,Not Completed,NA
128,16,64,32,128,32,256,0.0001,6.832244873046875,False,Not Completed,NA
128,32,64,64,32,64,64,0.0001,18.413299560546875,True,Completed,0.014126522447137782
