subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,dice_val_avg,logdir
128,16,8,64,128,4,64,0.0005,3.2182960510253906,True,Completed,0.6552125960588454,logs/3DVit_e100_gmwm_sv128_b6e0ca62-0920-418a-bc3f-cfe8f28e82ef
128,16,16,32,16,16,32,0.0005,1.2380714416503906,True,Completed,0.5945755258986826,logs/3DVit_e100_gmwm_sv128_3974f005-2079-4a04-bdee-1b9e151de93e
128,32,8,8,16,4,8,0.0005,1.0397682189941406,True,Completed,0.6052273676583642,logs/3DVit_e100_gmwm_sv128_41ee52cd-3fd0-483d-afad-f195b1d3eb94
128,32,8,16,8,16,16,0.0005,2.0951271057128906,True,Completed,0.6086824057917845,logs/3DVit_e100_gmwm_sv128_9986c5f1-493f-4324-a9d2-2dbba669aa43
128,16,4,16,64,4,16,0.0005,0.3851661682128906,True,Completed,0.6650380233400747,logs/3DVit_e100_gmwm_sv128_362a9881-6253-4a93-972b-a4873b1674a1
128,32,4,64,128,16,64,0.0005,9.08743667602539,True,Completed,0.6083003133535387,logs/3DVit_e100_gmwm_sv128_a8a25f96-41c2-4dd8-aafb-0ac8a220c26e
128,32,8,16,32,16,16,0.0005,2.1434669494628906,True,Completed,0.6084812275673214,logs/3DVit_e100_gmwm_sv128_49a9e4c6-9354-48b9-9416-d93b09a1be7d
128,16,8,256,8,64,256,0.0005,21.65481948852539,True,Completed,0.6661164407667362,logs/3DVit_e100_gmwm_sv128_b24017e5-80cb-4bd7-a95e-1c4d39449f6e
128,16,8,64,128,4,64,0.0005,3.2182960510253906,True,Completed,0.6664362863490455,logs/3DVit_e100_gmwm_sv128_b6e0ca62-0920-418a-bc3f-cfe8f28e82ef
128,16,16,32,16,16,32,0.0005,1.2380714416503906,True,Completed,0.6631755922970017,logs/3DVit_e100_gmwm_sv128_3974f005-2079-4a04-bdee-1b9e151de93e
128,32,64,64,256,64,64,0.0005,32.47220230102539,True,Completed,0.3323432199264828,logs/3DVit_e100_gmwm_sv128_18d5e714-628e-453a-af42-fc1d4db49f7e
128,32,8,8,16,4,8,0.0005,1.0397682189941406,True,Completed,0.5975729564302845,logs/3DVit_e100_gmwm_sv128_41ee52cd-3fd0-483d-afad-f195b1d3eb94
128,32,8,16,8,16,16,0.0005,2.0951271057128906,True,Completed,0.6080006110040765,logs/3DVit_e100_gmwm_sv128_9986c5f1-493f-4324-a9d2-2dbba669aa43
128,16,4,16,64,4,16,0.0005,0.3851661682128906,True,Completed,0.6646555011209688,logs/3DVit_e100_gmwm_sv128_362a9881-6253-4a93-972b-a4873b1674a1
128,32,4,64,128,16,64,0.0005,9.08743667602539,True,Completed,0.609352981573657,logs/3DVit_e100_gmwm_sv128_a8a25f96-41c2-4dd8-aafb-0ac8a220c26e
128,32,8,16,32,16,16,0.0005,2.1434669494628906,True,Completed,0.6076134741306307,logs/3DVit_e100_gmwm_sv128_49a9e4c6-9354-48b9-9416-d93b09a1be7d
128,16,8,256,8,64,256,0.0005,21.65481948852539,True,Completed,0.6639209938676736,logs/3DVit_e100_gmwm_sv128_b24017e5-80cb-4bd7-a95e-1c4d39449f6e
128,16,8,64,128,4,64,0.0005,3.2182960510253906,True,Completed,0.6658049672842026,logs/3DVit_e100_gmwm_sv128_b6e0ca62-0920-418a-bc3f-cfe8f28e82ef
128,32,8,8,16,4,8,0.0005,1.0397682189941406,True,Completed,0.6071298083192421,logs/3DVit_e100_gmwm_sv128_41ee52cd-3fd0-483d-afad-f195b1d3eb94
128,32,8,16,8,16,16,0.0005,2.0951271057128906,True,Completed,0.6120282811553852,logs/3DVit_e100_gmwm_sv128_9986c5f1-493f-4324-a9d2-2dbba669aa43
128,16,4,16,64,4,16,0.0005,0.3851661682128906,True,Completed,0.6720309139866578,logs/3DVit_e100_gmwm_sv128_362a9881-6253-4a93-972b-a4873b1674a1
128,16,16,32,16,16,32,0.0005,1.2380714416503906,True,Completed,0.6643602738254949,logs/3DVit_e100_gmwm_sv128_3974f005-2079-4a04-bdee-1b9e151de93e
128,32,4,64,128,16,64,0.0005,9.08743667602539,True,Completed,0.6079052200442866,logs/3DVit_e100_gmwm_sv128_a8a25f96-41c2-4dd8-aafb-0ac8a220c26e
128,32,8,16,32,16,16,0.0005,2.1434669494628906,True,Completed,0.6090356448763296,logs/3DVit_e100_gmwm_sv128_49a9e4c6-9354-48b9-9416-d93b09a1be7d
128,16,8,256,8,64,256,0.0005,21.65481948852539,True,Completed,0.6674650280099167,logs/3DVit_e100_gmwm_sv128_b24017e5-80cb-4bd7-a95e-1c4d39449f6e
